SIS User ID,Section,Pre-Test (4360072),Getting Started Quiz (4360081),Introductions (4360089),Journal 1 (4360108),Journal 2 (4360112),Journal 3 (4360113),Journal 4 (4360114),Journal 5 (4360115),Journal 6 (4360116),Journal 7 (4360117),Journal 8 (4360118),Journal 9 (4360119),Journal 10 (4360109),Journal 11 (4360110),Journal 12 (4360111),Journal 13 (4364878),Quiz 01 Java (4360082),Quiz 02 Variables (4360085),Quiz 03 Operators (4360078),Quiz 04 Decisions (4360074),Quiz 05 Methods (4360076),Quiz 06 Loops (4360087),Quiz 07 Arrays (4360073),"Quiz 08 Collections, Interfaces, Recursion, Maps, Big O (4360086)",Quiz 09 Number Systems and Strings  (4369612),Quiz 10 2d Arrays / Generics (4360083),Quiz 11 OOP (4360079),Quiz 12 Exceptions (4360080),Quiz 13 Data Structures / Collections (4360075),Quiz Avg,Exercises 1 (4360100),Exercises 2 (4360098),Exercises 3 (4360093),Exercises 4 (4360096),Exercises 5 (4360095),Exercises 6 (4360092),Exercises 7 (4360091),Exercises 8 (4360090),Exercises 9 (4360099),Exercises 10 (4360097),Exercises 11 (4360094),Exercises 12 (4364809),Exercises 13 (4364845),Integration Project PSI 1 Inspection (4360105),Innovation Project PSI 1 Inspection (4360102),Integration Project PSI 2 Inspection (4360106),Innovation Project PSI 2 Inspection (4360103),Integration Project PSI 3 Inspection (4360107),Innovation Project Final (4360101),Integration Project Final  (4360104),Portfolio Update (4360120),Team Score (4360121),SPoI (4388164),Post-Test (4360084),Final Exam  (4360077),Getting Started Current Score,Getting Started Unposted Current Score,Getting Started Final Score,Getting Started Unposted Final Score,Journals Current Score,Journals Unposted Current Score,Journals Final Score,Journals Unposted Final Score,Quizzes Current Score,Quizzes Unposted Current Score,Quizzes Final Score,Quizzes Unposted Final Score,Exercises Current Score,Exercises Unposted Current Score,Exercises Final Score,Exercises Unposted Final Score,Projects Current Score,Projects Unposted Current Score,Projects Final Score,Projects Unposted Final Score,Wrap Up Current Score,Wrap Up Unposted Current Score,Wrap Up Final Score,Wrap Up Unposted Final Score,Final Exam Current Score,Final Exam Unposted Current Score,Final Exam Final Score,Final Exam Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score
STU815022869,201608-80599-1,36,6,50,10,9,10,10,10,10,10,8,8,0,10,10,10,10,10,6,8,7,4,8,11,6,0,4,9,7,69.23076923,10,10,10,10,10,7.5,10,10,10,10,10,10,10,100,100,90,100,0,90,,100,76,50,32,45,97.87,97.87,97.87,97.87,88.46,88.46,88.46,88.46,78.18,78.18,78.18,78.18,98.08,98.08,98.08,98.08,80,80,68.57,68.57,90.4,90.4,90.4,90.4,56.62,56.62,56.62,56.62,85.76,85.76,83.47,83.47
STU815034417,201608-80599-1,36,8,50,8,8,10,4,8,10,10,8,8,8,6,6,6,8,9,7,4,7,3,7,5,8,6,6,6,6,63.07692308,10,10,10,10,10,10,10,10,10,10,10,10,10,70,100,73,85,29,90,35,60,79,50,26,45,100,100,100,100,76.92,76.92,76.92,76.92,68.18,68.18,68.18,68.18,100,100,100,100,68.86,68.86,68.86,68.86,75.6,75.6,75.6,75.6,52.21,52.21,52.21,52.21,80.1,80.1,80.1,80.1
STU815101645,201608-80599-1,36,8,50,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,9,7,8,7,10,8,9,9,8,8,9,85.38461538,10,10,10,10,10,10,10,10,10,10,10,10,10,100,100,96,100,95,100,82,65,93,50,29,44,100,100,100,100,100,100,100,100,88.18,88.18,88.18,88.18,100,100,100,100,96.14,96.14,96.14,96.14,83.2,83.2,83.2,83.2,53.68,53.68,53.68,53.68,92.82,92.82,92.82,92.82
STU815011837,201608-80599-1,36,7,42,10,10,0,10,6,0,0,0,10,0,0,10,10,6,9,5,7,7,4,2,9,7,5,5,9,8,63.84615385,10,10,10,10,10,10,10,10,7,10,10,10,10,85,100,75,85,77,100,35,0,70,50,28,75,90.43,90.43,90.43,90.43,50.77,50.77,50.77,50.77,70,70,70,70,97.69,97.69,97.69,97.69,79.57,79.57,79.57,79.57,48,48,48,48,75.74,75.74,75.74,75.74,79.46,79.46,79.46,79.46
STU815087073,201608-80599-1,36,8,50,8,8,8,8,8,10,6,0,0,0,0,0,0,10,10,7,10,0,5,10,7,9,5,9,6,8,73.84615385,10,10,10,10,10,10,10,10,0,0,0,0,0,100,100,100,100,79,85,81,90,88,,33,98,100,100,100,100,43.08,43.08,43.08,43.08,82.73,82.73,82.73,82.73,61.54,61.54,61.54,61.54,92.14,92.14,92.14,92.14,89,89,71.2,71.2,96.32,96.32,96.32,96.32,73.98,73.98,73.63,73.63
STU815085782,201608-80599-1,36,8,50,8,10,10,10,10,8,10,10,10,10,10,10,8,6,9,7,8,9,8,9,9,10,9,8,9,6,82.30769231,10,10,10,10,10,7.5,10,10,10,6.6,10,10,10,100,100,10,90,100,100,95,95,78,50,29,92,100,100,100,100,95.38,95.38,95.38,95.38,86.36,86.36,86.36,86.36,95.46,95.46,95.46,95.46,85,85,85,85,89.2,89.2,89.2,89.2,88.97,88.97,88.97,88.97,91.03,91.03,91.03,91.03
STU815067569,201608-80599-1,36,8,50,6,8,10,10,6,8,6,6,10,10,6,8,8,6,7,7,9,7,4,7,8,10,7,6,6,4,67.69230769,10,10,10,10,10,10,10,10,10,10,10,10,10,100,95,100,100,85,90,95,100,92,50,26,102,100,100,100,100,78.46,78.46,78.46,78.46,72.73,72.73,72.73,72.73,100,100,100,100,95,95,95,95,96.8,96.8,96.8,96.8,94.12,94.12,94.12,94.12,90.21,90.21,90.21,90.21
STU815106453,201608-80599-1,36,8,50,10,8,10,4,4,0,8,6,4,6,4,6,4,8,9,9,8,8,7,6,9,10,6,9,9,10,83.07692308,10,10,10,10,10,10,6.6,10,10,6.6,10,10,10,100,100,98,100,80,95,52,75,77,50,28,27,100,100,100,100,56.92,56.92,56.92,56.92,87.27,87.27,87.27,87.27,94.77,94.77,94.77,94.77,89.29,89.29,89.29,89.29,80.8,80.8,80.8,80.8,40.44,40.44,40.44,40.44,82.78,82.78,82.78,82.78
STU815038175,201608-80599-1,36,7,36,10,10,10,10,10,10,10,10,10,10,10,8,10,9,8,8,0,0,2,8,9,8,7,6,0,10,57.69230769,10,10,10,10,10,10,10,10,10,10,10,10,10,70,90,43,100,100,100,46,95,70,50,22,45,84.04,84.04,84.04,84.04,98.46,98.46,98.46,98.46,68.18,68.18,68.18,68.18,100,100,100,100,78.43,78.43,78.43,78.43,86,86,86,86,49.26,49.26,49.26,49.26,84.3,84.3,84.3,84.3
STU814989476,201608-80599-1,36,8,50,9,10,10,10,10,6,6,6,6,6,6,6,6,6,6,6,2,4,4,2,3,6,6,7,7,8,51.53846154,10,10,10,10,10,10,10,10,10,10,10,10,10,100,100,68,85,62,95,39,100,88,50,22,6,100,100,100,100,74.62,74.62,74.62,74.62,57.27,57.27,57.27,57.27,100,100,100,100,78.43,78.43,78.43,78.43,95.2,95.2,95.2,95.2,20.59,20.59,20.59,20.59,77.39,77.39,77.39,77.39
